segment,segment_start,segment_end,asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,case_model,18,0.6666666666666666,0.5846153846153846,0.0114089027318897,0.0152096101875118,0.9444444444444444,0.054199006780836,0.0535450624912698,0.027099503390418,4.750588908900172
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,fusion,18,0.6666666666666666,0.4615384615384615,0.0119737970861513,0.0147281789979892,0.9444444444444444,0.0540710920918744,0.0541012361558027,0.0270355460459372,4.515784901216654
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,fusion_case,18,0.6111111111111112,0.4230769230769231,0.0122056757436454,0.0146350668269505,0.8888888888888888,0.0505755145108273,0.0493021390415281,0.0252877572554136,4.143606267531558
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,baseline,18,0.3888888888888889,0.3701298701298701,0.0204365223317634,0.0346264665089434,0.7777777777777778,0.0536841812515297,0.0552778802028516,0.0268420906257648,2.6268745914803353
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,shock_main,18,0.5,0.461038961038961,0.0222953281447717,0.036773888306678,0.7222222222222222,0.0506076503469072,0.0511864919195807,0.0253038251734536,2.269876900590708
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,shock_interactions,18,0.6111111111111112,0.551948051948052,0.0217310912205437,0.0367722728138932,0.7777777777777778,0.048768181476821,0.0499501628188062,0.0243840907384105,2.2441662492639796
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,rag_memory,18,0.7777777777777778,0.7662337662337663,0.0162462202506419,0.0299488922355734,0.7777777777777778,0.0509307288309165,0.0522921823449956,0.0254653644154582,3.1349278813885455
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,shock_rag,18,0.7222222222222222,0.6948051948051948,0.0187716351711702,0.0335680364940725,0.8333333333333334,0.0519191367787172,0.0502639190473683,0.0259595683893586,2.765829204823633
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,case_model,18,0.4444444444444444,0.3636363636363636,0.0224726001490907,0.0357538081102461,0.7777777777777778,0.0645705974086608,0.0648566505150245,0.0322852987043304,2.873303355209356
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,fusion,18,0.8333333333333334,0.8376623376623377,0.0161164960786776,0.0308195424699393,0.8333333333333334,0.0480875808114228,0.0474287228098879,0.0240437904057114,2.983749108780751
2020_2021,2020-01-01,2021-12-31,QQQ_ret,regression,fusion_case,18,0.7777777777777778,0.7142857142857143,0.0163893629014584,0.031015756373232,0.8333333333333334,0.0504141900197999,0.0520077335248715,0.0252070950098999,3.076031101569771
2020_2021,2020-01-01,2021-12-31,SPY_ret,regression,baseline,18,0.4444444444444444,0.425,0.0170228318101764,0.0320293725760411,0.7777777777777778,0.0439718117754518,0.042216011874124,0.0219859058877259,2.5831079262126657
2020_2021,2020-01-01,2021-12-31,SPY_ret,regression,shock_main,18,0.4444444444444444,0.4125,0.0168013805051257,0.0303937581277614,0.8333333333333334,0.042891817551323,0.0431548479353599,0.0214459087756615,2.5528746008840018
2020_2021,2020-01-01,2021-12-31,SPY_ret,regression,shock_interactions,18,0.3888888888888889,0.3875,0.0168411369376752,0.0293769142288801,0.7777777777777778,0.0436255945769027,0.0425275604113638,0.0218127972884513,2.5904186123745587
2020_2021,2020-01-01,2021-12-31,SPY_ret,regression,rag_memory,18,0.6111111111111112,0.5875,0.013327463370772,0.0280756047374285,0.8888888888888888,0.0399474173125499,0.0413589154162374,0.0199737086562749,2.9973758847581737
2020_2021,2020-01-01,2021-12-31,SPY_ret,regression,shock_rag,18,0.6666666666666666,0.6375,0.0139788768461884,0.0269741616969067,0.8888888888888888,0.0376452791751047,0.0382234356039842,0.0188226395875523,2.693011719705457
2020_2021,2020-01-01,2021-12-31,SPY_ret,regression,case_model,18,0.3888888888888889,0.4125,0.0216973576173524,0.0338185141831512,0.6666666666666666,0.0500917873950127,0.0500064220084415,0.0250458936975063,2.3086584218417396
